ressort,einzelplan,jahr,mrd_eur,reden_digital,reden_anteil_promille
BMI,6,2019,1.9033822666666667,64,8.520836107043003
BMI,6,2021,3.4926004416666667,47,8.422939068100359
BMI,6,2023,2.3948808916666664,84,9.075194468452896
BMI,6,2024,1.9822232416666667,83,10.233016890642338
BMF,8,2019,0.7765185,39,5.19238450272933
BMF,8,2021,1.4878525,12,2.150537634408602
BMF,8,2023,1.8918685,18,1.9446845289541919
BMF,8,2024,2.0005626000000003,18,2.2192084823079767
BMWK,9,2019,0.89980205,20,2.6627612834509384
BMWK,9,2021,1.3270051939999998,10,1.7921146953405018
BMWK,9,2023,2.365381315,20,2.16076058772688
BMWK,9,2024,1.3801366495,13,1.6027616816668722
BMDV,12,2019,0.9308979749999999,64,8.520836107043003
BMDV,12,2021,2.508056445,17,3.046594982078853
BMDV,12,2023,2.4961516,32,3.4572169403630078
BMDV,12,2024,4.1227625125000005,24,2.9589446430773028
BMVg,14,2019,1.9684789875,33,4.3935561176940485
BMVg,14,2021,2.6073784125,17,3.046594982078853
BMVg,14,2023,2.8136460125,28,3.025064822817632
BMVg,14,2024,3.1188465625,35,4.315127604487732
BMG,15,2019,0.0348185,21,2.7958993476234855
BMG,15,2021,0.3494239375,20,3.5842293906810037
BMG,15,2023,0.34418475,30,3.24114088159032
BMG,15,2024,0.27413708999999997,16,1.9726297620515347
BMBF,30,2019,1.5868886975654042,84,11.183597390493942
BMBF,30,2021,2.122352231154415,44,7.885304659498209
BMBF,30,2023,2.6800531705664374,53,5.726015557476232
BMBF,30,2024,3.8788307040865426,66,8.137097768462581
EP60,60,2019,0.05,0,0.0
EP60,60,2021,1.872091,0,0.0
EP60,60,2023,3.067864,0,0.0
EP60,60,2024,0.0695,0,0.0
